1.2433 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
30.3839 	EXP 	window1: recordFrameIntervals = False
30.3874 	DATA 	Keypress: left
30.3942 	EXP 	fixation: autoDraw = False
30.3942 	EXP 	grating: autoDraw = False
30.3942 	EXP 	grating: pos = array([-0.2,  0. ])
30.3947 	EXP 	window1: recordFrameIntervals = False
31.3771 	EXP 	fixation: autoDraw = True
32.3770 	EXP 	fixation: autoDraw = False
32.3770 	EXP 	grating: autoDraw = True
32.3770 	EXP 	grating: tex = 'sin'
32.6772 	EXP 	grating: autoDraw = False
32.7845 	EXP 	window1: recordFrameIntervals = False
32.7882 	DATA 	Keypress: left
32.7940 	EXP 	fixation: autoDraw = False
32.7940 	EXP 	grating: autoDraw = False
32.7940 	EXP 	grating: pos = array([0.2, 0. ])
32.7946 	EXP 	window1: recordFrameIntervals = False
33.7763 	EXP 	fixation: autoDraw = True
34.7769 	EXP 	fixation: autoDraw = False
34.7769 	EXP 	grating: autoDraw = True
34.7769 	EXP 	grating: tex = 'sin'
35.0771 	EXP 	grating: autoDraw = False
35.1340 	EXP 	window1: recordFrameIntervals = False
35.1373 	DATA 	Keypress: right
35.1438 	EXP 	fixation: autoDraw = False
35.1438 	EXP 	grating: autoDraw = False
35.1438 	EXP 	grating: pos = array([-0.2,  0. ])
35.1443 	EXP 	window1: recordFrameIntervals = False
36.1266 	EXP 	fixation: autoDraw = True
37.1268 	EXP 	fixation: autoDraw = False
37.1268 	EXP 	grating: autoDraw = True
37.1268 	EXP 	grating: tex = 'sin'
37.4266 	EXP 	grating: autoDraw = False
37.4494 	EXP 	window1: recordFrameIntervals = False
37.4527 	DATA 	Keypress: left
37.4600 	EXP 	fixation: autoDraw = False
37.4600 	EXP 	grating: autoDraw = False
37.4600 	EXP 	grating: pos = array([0.2, 0. ])
37.4604 	EXP 	window1: recordFrameIntervals = False
38.4419 	EXP 	fixation: autoDraw = True
39.4428 	EXP 	fixation: autoDraw = False
39.4428 	EXP 	grating: autoDraw = True
39.4428 	EXP 	grating: tex = 'sin'
39.6342 	DATA 	Keypress: right
39.6480 	EXP 	window1: recordFrameIntervals = False
39.6595 	EXP 	fixation: autoDraw = False
39.6595 	EXP 	grating: autoDraw = False
39.6595 	EXP 	grating: pos = array([0.2, 0. ])
39.6597 	EXP 	window1: recordFrameIntervals = False
40.6400 	EXP 	fixation: autoDraw = True
41.6432 	EXP 	fixation: autoDraw = False
41.6432 	EXP 	grating: autoDraw = True
41.6432 	EXP 	grating: tex = 'sin'
41.9431 	EXP 	grating: autoDraw = False
42.0501 	EXP 	window1: recordFrameIntervals = False
42.0537 	DATA 	Keypress: right
42.0597 	EXP 	fixation: autoDraw = False
42.0597 	EXP 	grating: autoDraw = False
42.0597 	EXP 	grating: pos = array([-0.2,  0. ])
42.0602 	EXP 	window1: recordFrameIntervals = False
43.0420 	EXP 	fixation: autoDraw = True
44.0431 	EXP 	fixation: autoDraw = False
44.0431 	EXP 	grating: autoDraw = True
44.0431 	EXP 	grating: tex = 'sin'
44.3424 	EXP 	grating: autoDraw = False
44.3626 	EXP 	window1: recordFrameIntervals = False
44.3644 	DATA 	Keypress: left
44.3757 	EXP 	fixation: autoDraw = False
44.3757 	EXP 	grating: autoDraw = False
44.3757 	EXP 	grating: pos = array([-0.2,  0. ])
44.3758 	EXP 	window1: recordFrameIntervals = False
45.3589 	EXP 	fixation: autoDraw = True
46.3592 	EXP 	fixation: autoDraw = False
46.3592 	EXP 	grating: autoDraw = True
46.3592 	EXP 	grating: tex = 'sin'
46.6595 	EXP 	grating: autoDraw = False
46.7328 	EXP 	window1: recordFrameIntervals = False
46.7359 	DATA 	Keypress: left
46.7429 	EXP 	fixation: autoDraw = False
46.7429 	EXP 	grating: autoDraw = False
46.7429 	EXP 	grating: pos = array([0.2, 0. ])
46.7434 	EXP 	window1: recordFrameIntervals = False
47.7254 	EXP 	fixation: autoDraw = True
48.7256 	EXP 	fixation: autoDraw = False
48.7256 	EXP 	grating: autoDraw = True
48.7256 	EXP 	grating: tex = 'sin'
49.0259 	EXP 	grating: autoDraw = False
49.0985 	EXP 	window1: recordFrameIntervals = False
49.1019 	DATA 	Keypress: right
49.1092 	EXP 	fixation: autoDraw = False
49.1092 	EXP 	grating: autoDraw = False
49.1092 	EXP 	grating: pos = array([-0.2,  0. ])
49.1098 	EXP 	window1: recordFrameIntervals = False
50.0908 	EXP 	fixation: autoDraw = True
51.0922 	EXP 	fixation: autoDraw = False
51.0922 	EXP 	grating: autoDraw = True
51.0922 	EXP 	grating: tex = 'sin'
51.3919 	EXP 	grating: autoDraw = False
51.4824 	EXP 	window1: recordFrameIntervals = False
51.4865 	DATA 	Keypress: left
51.4923 	EXP 	fixation: autoDraw = False
51.4923 	EXP 	grating: autoDraw = False
51.4923 	EXP 	grating: pos = array([-0.2,  0. ])
51.4928 	EXP 	window1: recordFrameIntervals = False
52.4738 	EXP 	fixation: autoDraw = True
53.4754 	EXP 	fixation: autoDraw = False
53.4754 	EXP 	grating: autoDraw = True
53.4754 	EXP 	grating: tex = 'sin'
53.7754 	EXP 	grating: autoDraw = False
53.8986 	EXP 	window1: recordFrameIntervals = False
53.9020 	DATA 	Keypress: left
53.9087 	EXP 	fixation: autoDraw = False
53.9087 	EXP 	grating: autoDraw = False
53.9087 	EXP 	grating: pos = array([0.2, 0. ])
53.9092 	EXP 	window1: recordFrameIntervals = False
54.8899 	EXP 	fixation: autoDraw = True
55.8917 	EXP 	fixation: autoDraw = False
55.8917 	EXP 	grating: autoDraw = True
55.8917 	EXP 	grating: tex = 'sin'
56.1919 	EXP 	grating: autoDraw = False
