loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,num_distr,fixation.started,fixation.stopped,target.started,target.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,11.30268129997421,None,11.30268129997421,None,-0.37109375,-0.15104166666666666,1,0,0,1.8832007000455633,target,0.005612960085272789,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
1,0,1,0,10,13.185109599959105,None,13.185109599959105,None,-0.02734375,0.12109375,1,0,0,1.5555625000270084,target,0.00861084007192403,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
2,0,2,0,5,14.758331499993801,None,14.758331499993801,None,-0.24479166666666666,0.2734375,1,0,0,2.3473739000037313,target,0.00686072011012584,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
3,0,3,0,10,17.15277749998495,None,17.15277749998495,None,-0.2552083333333333,0.4700520833333333,1,0,0,1.9837120999582112,,0.009122229996137321,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
4,0,4,0,5,19.152955599944107,None,19.152955599944107,None,-0.17838541666666666,0.12630208333333334,1,0,0,1.3845626999391243,target,0.01034931989852339,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
5,0,5,0,10,20.605757599929348,None,20.605757599929348,None,0.4791666666666667,0.125,1,0,0,1.5038148999447003,target,0.004136339877732098,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
6,0,6,0,10,22.14888859994244,None,22.14888859994244,None,-0.4205729166666667,0.2838541666666667,1,0,0,3.1474740999983624,target,0.016532629961147904,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
7,0,7,0,10,25.323416300001554,None,25.323416300001554,None,0.3854166666666667,-0.08333333333333333,1,0,0,2.7991059001069516,target,0.015962530043907464,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
8,0,8,0,10,28.16414599993732,None,28.16414599993732,None,0.0234375,0.07942708333333333,1,0,0,1.9569954000180587,target,0.013415329973213375,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
9,0,9,0,10,30.166562599944882,None,30.166562599944882,None,0.18489583333333334,-0.10807291666666667,1,0,0,2.692715200013481,target,0.014400840038433671,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
10,0,10,0,10,32.8921564000193,None,32.8921564000193,None,0.25390625,0.14973958333333334,1,0,0,1.083994899992831,target,0.01578532997518778,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
11,0,11,0,5,33.99655779998284,None,33.99655779998284,None,0.13541666666666666,0.23828125,1,0,0,2.1131176999770105,target,0.008458519936539233,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
12,0,12,0,5,36.132425599964336,None,36.132425599964336,None,-0.08333333333333333,-0.2734375,1,0,0,1.8679858000250533,target,0.009858220117166638,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
13,0,13,0,5,38.02750089997426,None,38.02750089997426,None,0.22135416666666666,0.09114583333333333,1,0,0,1.0014754999428988,target,0.005901220021769404,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
14,0,14,0,10,39.07406000001356,None,39.07406000001356,None,0.06640625,0.3854166666666667,1,0,0,1.4659676000010222,target,0.013153829844668508,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
15,0,15,0,10,40.57359299995005,None,40.57359299995005,None,-0.35546875,-0.015625,1,0,0,1.8072510999627411,target,0.013419429888017476,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
16,0,16,0,10,42.41705639997963,None,42.41705639997963,None,-0.11458333333333333,-0.23697916666666666,1,0,0,1.7057262000162154,target,0.01226762996520847,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
17,0,17,0,10,44.1709163999185,None,44.1709163999185,None,0.16015625,-0.04296875,1,0,0,2.4976362000452355,target,0.0009128300007432699,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
18,0,18,0,5,46.69901709991973,None,46.69901709991973,None,-0.3671875,0.4166666666666667,1,0,0,1.58510349993594,target,0.006285520154051483,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
19,0,19,0,10,48.32545260002371,None,48.32545260002371,None,-0.2630208333333333,0.1640625,1,0,0,3.106861500069499,target,0.0059139300137758255,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
20,0,20,0,5,51.447174999979325,None,51.447174999979325,None,-0.23697916666666666,-0.453125,1,0,0,2.0308288000524044,target,0.008824220160022378,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
21,0,21,0,10,53.52248029992916,None,53.52248029992916,None,0.4661458333333333,-0.2552083333333333,1,0,0,2.9178430000320077,target,0.010645829956047237,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
22,0,22,0,10,56.47803959995508,None,56.47803959995508,None,-0.4934895833333333,0.17317708333333334,1,0,0,1.9205482999095693,target,0.011733629857189953,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
23,0,23,0,5,58.418998199980706,None,58.418998199980706,None,0.16796875,-0.4166666666666667,1,0,0,1.5323528000153601,target,0.006056619924493134,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
24,0,24,0,5,59.98807740001939,None,59.98807740001939,None,-0.40234375,0.23828125,1,0,0,1.3396120000397786,target,0.01254482998047024,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
25,0,25,0,10,61.36980619991664,None,61.36980619991664,None,-0.2265625,0.4544270833333333,1,0,0,3.810254800016992,target,0.012882929993793368,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
26,0,26,0,5,65.22057120001409,None,65.22057120001409,None,0.4205729166666667,0.15885416666666666,1,0,0,1.3182863999390975,target,0.0027518300339579582,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
27,0,27,0,10,66.60670559993014,None,66.60670559993014,None,-0.07552083333333333,0.3984375,1,0,0,2.5976113999495283,target,0.009541740058921278,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
28,0,28,0,10,69.23337069991976,None,69.23337069991976,None,-0.171875,-0.3997395833333333,1,0,0,2.1953219999559224,target,0.0164476300124079,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
29,0,29,0,5,71.4451411999762,None,71.4451411999762,None,-0.4895833333333333,-0.3489583333333333,1,0,0,1.6459212000481784,target,0.008128020097501576,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
30,0,30,0,5,73.12604919995647,None,73.12604919995647,None,-0.09114583333333333,0.2760416666666667,1,0,0,1.4722646999871358,target,0.014730229857377708,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
31,0,31,0,10,74.66069629997946,None,74.66069629997946,None,-0.25390625,0.13671875,1,0,0,1.1624560999916866,target,0.011071440065279603,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
32,0,32,0,10,75.85653859993909,None,75.85653859993909,None,-0.10807291666666667,-0.08463541666666667,1,0,0,2.0928032000083476,target,0.014435730059631169,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
33,0,33,0,10,77.9806307000108,None,77.9806307000108,None,0.020833333333333332,-0.3346354166666667,1,0,0,2.8168880000011995,target,0.00124201993457973,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
34,0,34,0,5,80.81858209997881,None,80.81858209997881,None,-0.09375,-0.018229166666666668,1,0,0,1.276913500041701,target,0.008218320086598396,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
35,0,35,0,10,82.1486912999535,None,82.1486912999535,None,0.016927083333333332,-0.4322916666666667,1,0,0,3.760342900059186,target,0.0007472300203517079,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
36,0,36,0,5,85.92622629995458,None,85.92622629995458,None,-0.16015625,-0.4778645833333333,1,0,0,2.023030500044115,target,0.0071460200706496835,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
37,0,37,0,10,87.99051589996088,None,87.99051589996088,None,0.3697916666666667,-0.044270833333333336,1,0,0,2.2274420000612736,target,0.014702629996463656,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
38,0,38,0,5,90.29586329997983,None,90.29586329997983,None,0.3411458333333333,-0.3424479166666667,1,0,0,1.259648900013417,target,0.016449459944851696,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
39,0,39,0,5,91.62153369991574,None,91.62153369991574,None,0.3958333333333333,0.24609375,1,0,0,2.4847371999640018,target,0.014618349960073829,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
40,0,40,0,5,94.14686669991352,None,94.14686669991352,None,0.04296875,0.34375,1,0,0,1.1276500999229029,target,0.003547120140865445,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
41,0,41,0,10,95.30943979998119,None,95.30943979998119,None,0.24348958333333334,0.2682291666666667,1,0,0,1.7201029000570998,target,0.010014830040745437,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
42,0,42,0,5,97.04813799995463,None,97.04813799995463,None,-0.15104166666666666,0.3932291666666667,1,0,0,1.4576681000180542,target,0.007206720067188144,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
43,0,43,0,5,98.54220959998202,None,98.54220959998202,None,0.23828125,0.18880208333333334,1,0,0,1.0350977999623865,target,0.013648629887029529,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
44,0,44,0,5,99.6183607999701,None,99.6183607999701,None,-0.2825520833333333,-0.3671875,1,0,0,2.9868934999685735,target,0.003656329936347902,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
45,0,45,0,10,102.67130159994122,None,102.67130159994122,None,-0.01171875,0.4778645833333333,1,0,0,3.760367100010626,target,0.007244339911267161,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
46,0,46,0,10,106.48838230001274,None,106.48838230001274,None,0.09114583333333333,0.4557291666666667,1,0,0,3.1174863999476656,target,0.0005179198924452066,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
47,0,47,0,5,109.59442749992013,None,109.59442749992013,None,-0.028645833333333332,-0.08203125,1,0,0,1.6269616999197751,target,0.012068719952367246,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
48,0,48,0,10,111.26689999992959,None,111.26689999992959,None,0.4583333333333333,-0.3528645833333333,1,0,0,4.084421499981545,target,0.009812430012971163,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
49,0,49,0,5,115.36459229991306,None,115.36459229991306,None,0.2708333333333333,0.029947916666666668,1,0,0,1.1241033000405878,target,0.012169520137831569,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
50,0,50,0,10,116.55148439994082,None,116.55148439994082,None,0.4466145833333333,-0.0390625,1,0,0,2.2553982000099495,target,0.010939040104858577,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
51,0,51,0,10,118.83595410000999,None,118.83595410000999,None,-0.4895833333333333,0.4453125,1,0,0,2.399181699962355,target,0.0024201199412345886,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
52,0,52,0,5,121.24922090000473,None,121.24922090000473,None,-0.07942708333333333,0.2565104166666667,1,0,0,1.6273780999472365,target,0.01218951994087547,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
53,0,53,0,10,122.93192599993199,None,122.93192599993199,None,-0.2903645833333333,-0.25390625,1,0,0,2.5614760000025854,target,0.002179429982788861,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
54,0,54,0,5,125.52220559993293,None,125.52220559993293,None,0.2942708333333333,0.3294270833333333,1,0,0,2.2486674999818206,target,0.009338920004665852,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
55,0,55,0,10,127.80744909995701,None,127.80744909995701,None,0.15494791666666666,-0.3723958333333333,1,0,0,1.8681140000699088,target,0.00533853005617857,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
56,0,56,0,5,129.69195230002515,None,129.69195230002515,None,0.2903645833333333,0.1015625,1,0,0,1.5039034000365064,target,0.009610720095224679,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
57,0,57,0,5,131.22666379995644,None,131.22666379995644,None,0.13541666666666666,0.32421875,1,0,0,1.167812900035642,target,0.003709119977429509,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
58,0,58,0,5,132.41819519991986,None,132.41819519991986,None,-0.21223958333333334,0.42578125,1,0,0,1.2993663999950513,target,0.007161120185628533,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
59,0,59,0,5,133.75821939995512,None,133.75821939995512,None,-0.057291666666666664,0.0625,1,0,0,1.092986200004816,target,0.009998530033044517,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
60,0,60,0,10,134.9228958999738,None,134.9228958999738,None,0.005208333333333333,0.20963541666666666,1,0,0,1.2287095999345183,target,0.015397949959151447,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
61,0,61,0,10,136.19404329999816,None,136.19404329999816,None,0.4466145833333333,-0.03515625,1,0,0,1.853685799986124,target,0.007890929817222059,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
62,0,62,0,10,138.07955839997157,None,138.07955839997157,None,0.171875,0.041666666666666664,1,0,0,3.287780400016345,target,0.0013010199181735516,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
63,0,63,0,5,141.3846755999839,None,141.3846755999839,None,-0.14713541666666666,-0.3346354166666667,1,0,0,1.8857871000654995,target,0.008664020104333758,None,2,001,2022_Oct_01_1338,Tutorial_3,2021.1.4,59.95042098724027,
