loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,num_distr,fixation.started,fixation.stopped,target.started,target.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,70.65889670001343,None,70.65889670001343,None,0.3580729166666667,0.40234375,1,0,0,3.7636069000000134,target,0.009248699992895126,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
1,0,1,0,5,74.39108520001173,None,74.39108520001173,None,-0.2643229166666667,0.2877604166666667,1,0,0,1.2770997999468818,target,0.0018993400735780597,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
2,0,2,0,10,75.7101630999241,None,75.7101630999241,None,-0.020833333333333332,-0.31640625,1,0,0,1.7026774999685585,target,0.013792360085062683,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
3,0,3,0,5,77.4322146999184,None,77.4322146999184,None,0.46484375,-0.24479166666666666,1,0,0,1.8573929999256507,target,0.0076078398851677775,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
4,0,4,0,10,79.35204929998145,None,79.35204929998145,None,-0.13802083333333334,-0.3684895833333333,1,0,0,2.5899388999678195,target,0.010470280074514449,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
5,0,5,0,5,81.97379900002852,None,81.97379900002852,None,0.010416666666666666,-0.3411458333333333,1,0,0,2.3835661000339314,target,0.009697959991171956,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
6,0,6,0,10,84.4149194000056,None,84.4149194000056,None,0.4817708333333333,0.0546875,1,0,0,2.6470850999467075,target,0.00029815989546477795,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
7,0,7,0,5,87.07897549995687,None,87.07897549995687,None,-0.359375,-0.1953125,1,0,0,1.5632594000780955,target,0.007143440074287355,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
8,0,8,0,5,88.67184429999907,None,88.67184429999907,None,0.4270833333333333,0.22916666666666666,1,0,0,1.7493069000774994,target,0.00553654006216675,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
9,0,9,0,5,90.44463759998325,None,90.44463759998325,None,0.3502604166666667,-0.078125,1,0,0,1.1785566000035033,target,0.007081039831973612,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
10,0,10,0,5,91.65015170001425,None,91.65015170001425,None,-0.13802083333333334,-0.3684895833333333,1,0,0,1.249054600019008,target,0.006340740015730262,None,1,001,2022_Oct_01_1330,Tutorial_3,2021.1.4,60.02433386855881,
