45.4514 	DATA 	Keypress: down
45.4536 	EXP 	fixation: autoDraw = False
45.4536 	EXP 	grating: autoDraw = False
45.4536 	EXP 	grating: ori = 0.0
45.4536 	EXP 	fixation: autoDraw = True
46.4404 	EXP 	grating: autoDraw = True
46.4571 	EXP 	fixation: autoDraw = False
46.7403 	EXP 	grating: autoDraw = False
47.3947 	EXP 	New trial (rep=11, index=0): None
47.4026 	DATA 	Keypress: up
47.4048 	EXP 	fixation: autoDraw = False
47.4048 	EXP 	grating: autoDraw = False
47.4048 	EXP 	grating: ori = -3.0
47.4048 	EXP 	fixation: autoDraw = True
48.3904 	EXP 	grating: autoDraw = True
48.4071 	EXP 	fixation: autoDraw = False
48.6902 	EXP 	grating: autoDraw = False
49.3264 	EXP 	New trial (rep=12, index=0): None
49.3335 	DATA 	Keypress: down
49.3357 	EXP 	fixation: autoDraw = False
49.3357 	EXP 	grating: autoDraw = False
49.3357 	EXP 	grating: ori = 0.0
49.3357 	EXP 	fixation: autoDraw = True
50.3235 	EXP 	grating: autoDraw = True
50.3400 	EXP 	fixation: autoDraw = False
50.6235 	EXP 	grating: autoDraw = False
50.9467 	DATA 	Keypress: up
50.9765 	EXP 	New trial (rep=13, index=0): None
50.9856 	EXP 	fixation: autoDraw = False
50.9856 	EXP 	grating: autoDraw = False
50.9856 	EXP 	grating: ori = 0.0
50.9856 	EXP 	fixation: autoDraw = True
51.9733 	EXP 	grating: autoDraw = True
51.9898 	EXP 	fixation: autoDraw = False
52.2732 	EXP 	grating: autoDraw = False
53.0960 	DATA 	Keypress: down
53.1291 	EXP 	New trial (rep=14, index=0): None
53.1383 	EXP 	fixation: autoDraw = False
53.1383 	EXP 	grating: autoDraw = False
53.1383 	EXP 	grating: ori = -3.0
53.1383 	EXP 	fixation: autoDraw = True
54.1232 	EXP 	grating: autoDraw = True
54.1398 	EXP 	fixation: autoDraw = False
54.4230 	EXP 	grating: autoDraw = False
54.7286 	DATA 	Keypress: down
54.7631 	EXP 	New trial (rep=15, index=0): None
54.7720 	EXP 	fixation: autoDraw = False
54.7720 	EXP 	grating: autoDraw = False
54.7720 	EXP 	grating: ori = -2.0
54.7720 	EXP 	fixation: autoDraw = True
55.7557 	EXP 	grating: autoDraw = True
55.7725 	EXP 	fixation: autoDraw = False
56.0563 	EXP 	grating: autoDraw = False
56.5607 	EXP 	New trial (rep=16, index=0): None
56.5678 	DATA 	Keypress: down
